                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.75343,                 1.6511,                 1.0481,                0.41862,                0.64216,                 0.4907,                0.31317,                 1.0264,                0.97229,                0.99265,               0.070244,              0.0033062,              0.0033062
                      1,                0.64322,                0.62766,                0.93492,                0.62485,                 0.7789,                0.72144,                0.43447,                  1.047,                0.80266,                 1.0025,               0.040178,              0.0065738,              0.0065738
                      2,                0.68958,                0.59232,                0.94211,                0.66502,                0.78544,                 0.7413,                0.43706,                 1.0669,                0.80175,                 1.0036,               0.010046,              0.0097754,              0.0097754
                      3,                0.71287,                0.55473,                0.94811,                 0.7176,                0.78669,                 0.8054,                0.46273,                  1.112,                0.77439,                  1.029,               0.009703,               0.009703,               0.009703
                      4,                0.70175,                0.52708,                0.94837,                0.70568,                0.78499,                0.77066,                0.46355,                 1.0613,                0.76491,                 1.0017,               0.009703,               0.009703,               0.009703
                      5,                0.68279,                0.49429,                 0.9375,                0.83613,                 0.8504,                0.89266,                0.52032,                 1.0332,                0.66294,                 1.0059,               0.009604,               0.009604,               0.009604
                      6,                0.66568,                0.48384,                0.93517,                0.79603,                0.84139,                0.88579,                0.52545,                 1.0291,                0.63061,                0.98287,               0.009505,               0.009505,               0.009505
                      7,                0.65268,                 0.4657,                0.93254,                0.83438,                0.82478,                0.89919,                0.53752,                0.99656,                0.62593,                0.98383,               0.009406,               0.009406,               0.009406
                      8,                0.64616,                0.46079,                0.92555,                0.83713,                 0.8562,                 0.8956,                0.54182,                0.98959,                0.60485,                0.97581,               0.009307,               0.009307,               0.009307
                      9,                0.63242,                0.43656,                0.92256,                0.80656,                0.86232,                 0.8839,                0.51856,                  1.018,                0.62688,                0.98123,               0.009208,               0.009208,               0.009208
                     10,                0.62863,                0.43197,                0.92186,                 0.8304,                0.88344,                0.92126,                0.55367,                0.99203,                0.60537,                0.96785,               0.009109,               0.009109,               0.009109
                     11,                0.62312,                0.42824,                 0.9178,                0.86824,                0.88904,                0.91685,                0.56556,                0.94974,                0.56402,                0.94501,                0.00901,                0.00901,                0.00901
                     12,                0.60759,                0.41492,                0.91188,                 0.8492,                0.90764,                0.92844,                0.56386,                 1.0108,                0.55652,                 0.9694,               0.008911,               0.008911,               0.008911
                     13,                0.60518,                0.41011,                0.91202,                  0.867,                0.87344,                0.91805,                0.58027,                0.96583,                0.53053,                0.95041,               0.008812,               0.008812,               0.008812
                     14,                0.60098,                0.40707,                 0.9085,                0.85143,                0.91601,                0.91896,                0.56225,                0.99469,                0.56072,                0.96137,               0.008713,               0.008713,               0.008713
                     15,                 0.5914,                0.39753,                0.90235,                0.89775,                0.89866,                0.93545,                0.58796,                0.97017,                0.54321,                0.94772,               0.008614,               0.008614,               0.008614
                     16,                0.59082,                 0.4008,                0.90849,                0.89764,                0.87839,                0.93847,                0.58468,                0.96848,                0.54105,                0.95325,               0.008515,               0.008515,               0.008515
                     17,                0.58387,                0.39289,                 0.9018,                0.86787,                0.92301,                0.93947,                 0.5861,                0.94296,                0.52273,                0.94215,               0.008416,               0.008416,               0.008416
                     18,                0.58517,                0.39009,                0.90229,                0.86087,                0.89872,                0.93213,                0.58202,                0.96393,                0.57266,                0.94344,               0.008317,               0.008317,               0.008317
